Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
2019-01-15,All items,8106.0,252.673,100.0,0.0,,
2019-01-15,Food,4934.0,256.059,13.364,1.0,All items,8106.0
2019-01-15,Food at home,4200.0,240.765,7.304,2.0,Food,4934.0
2019-01-15,Cereals and bakery products,2948.0,274.288,0.962,3.0,Food at home,4200.0
2019-01-15,Cereals and cereal products,232.0,225.414,0.308,4.0,Cereals and bakery products,2948.0
2019-01-15,Flour and prepared flour mixes,5489.0,234.435,0.04,5.0,Cereals and cereal products,232.0
2019-01-15,Breakfast cereal,6944.0,219.572,0.149,5.0,Cereals and cereal products,232.0
2019-01-15,"Rice, pasta, cornmeal",3008.0,234.9,0.118,5.0,Cereals and cereal products,232.0
2019-01-15,Rice,7147.0,162.95,0.119,6.0,"Rice, pasta, cornmeal",3008.0
2019-01-15,Bakery products,8566.0,303.681,0.654,5.0,Cereals and cereal products,232.0
2019-01-15,Bread,975.0,182.471,0.193,6.0,Bakery products,8566.0
2019-01-15,White bread,4282.0,331.374,0.097,7.0,Bread,975.0
2019-01-15,Bread other than white,4542.0,355.094,0.097,7.0,Bread,975.0
2019-01-15,"Fresh biscuits, rolls, muffins",922.0,181.412,0.092,6.0,Bakery products,8566.0
2019-01-15,"Cakes, cupcakes, and cookies",8034.0,287.088,0.164,6.0,Bakery products,8566.0
2019-01-15,Cookies,4182.0,266.517,0.0825,7.0,"Cakes, cupcakes, and cookies",8034.0
2019-01-15,Fresh cakes and cupcakes,597.0,313.592,0.0825,7.0,"Cakes, cupcakes, and cookies",8034.0
2019-01-15,Other bakery products,8497.0,267.75,0.205,6.0,Bakery products,8566.0
2019-01-15,"Fresh sweetrolls, coffeecakes, doughnuts",4288.0,305.611,0.067333333333333,7.0,Other bakery products,8497.0
2019-01-15,"Crackers, bread, and cracker products",9136.0,305.461,0.067333333333333,7.0,Other bakery products,8497.0
2019-01-15,"Frozen and refrigerated bakery products, pies, tarts, turnovers",3655.0,268.301,0.067333333333333,7.0,Other bakery products,8497.0
2019-01-15,"Meats, poultry, fish, and eggs",8516.0,249.609,1.504,3.0,Food at home,4200.0
2019-01-15,Meats,5354.0,253.866,0.937,5.0,"Meats, poultry, fish, and eggs",8516.0
2019-01-15,Beef and veal,207.0,307.118,0.426,6.0,Meats,5354.0
2019-01-15,Uncooked ground beef,5192.0,266.971,0.17,7.0,Beef and veal,207.0
2019-01-15,Uncooked beef roasts,2136.0,226.437,0.061,7.0,Beef and veal,207.0
2019-01-15,Uncooked beef steaks,1842.0,208.848,0.158,7.0,Beef and veal,207.0
2019-01-15,Uncooked other beef and veal,7339.0,241.675,0.037,7.0,Beef and veal,207.0
2019-01-15,Pork,5855.0,211.044,0.29,6.0,Meats,5354.0
2019-01-15,"Bacon, breakfast sausage, and related products",9102.0,159.263,0.132,7.0,Pork,5855.0
2019-01-15,Bacon and related products,9540.0,298.492,0.065,8.0,"Bacon, breakfast sausage, and related products",9102.0
2019-01-15,Breakfast sausage and related products,8302.0,144.455,0.065,8.0,"Bacon, breakfast sausage, and related products",9102.0
2019-01-15,Ham,3234.0,201.993,0.05,7.0,Pork,5855.0
2019-01-15,"Ham, excluding canned",9972.0,225.531,0.051,8.0,Ham,3234.0
2019-01-15,Pork chops,4791.0,180.888,0.043,7.0,Pork,5855.0
2019-01-15,Other pork including roasts and picnics,8666.0,127.38,0.065,7.0,Pork,5855.0
2019-01-15,Other meats,4535.0,221.942,0.221,6.0,Meats,5354.0
2019-01-15,Frankfurters,4003.0,229.378,0.05525,7.0,Other meats,4535.0
2019-01-15,Lunchmeats,3829.0,142.304,0.05525,7.0,Other meats,4535.0
2019-01-15,Poultry,9948.0,230.124,0.315,6.0,Meats,5354.0
2019-01-15,Chicken,1270.0,149.588,0.258,7.0,Poultry,9948.0
2019-01-15,Fresh whole chicken,3415.0,243.507,0.1295,8.0,Chicken,1270.0
2019-01-15,Fresh and frozen chicken parts,2135.0,223.758,0.1295,8.0,Chicken,1270.0
2019-01-15,Other uncooked poultry including turkey,6263.0,143.517,0.057,7.0,Poultry,9948.0
2019-01-15,Fish and seafood,9469.0,300.265,0.252,6.0,Meats,5354.0
2019-01-15,Fresh fish and seafood,7000.0,187.44,0.13,7.0,Fish and seafood,9469.0
2019-01-15,Processed fish and seafood,8830.0,149.677,0.122,7.0,Fish and seafood,9469.0
2019-01-15,Shelf stable fish and seafood,5846.0,214.142,0.0615,8.0,Processed fish and seafood,8830.0
2019-01-15,Frozen fish and seafood,4850.0,309.429,0.0615,8.0,Processed fish and seafood,8830.0
2019-01-15,Eggs,5556.0,214.81,0.092,5.0,"Meats, poultry, fish, and eggs",8516.0
2019-01-15,Dairy and related products,5341.0,215.348,0.724,3.0,Food at home,4200.0
2019-01-15,Milk,4634.0,137.396,0.2,4.0,Dairy and related products,5341.0
2019-01-15,Fresh whole milk,2000.0,195.108,0.1005,5.0,Milk,4634.0
2019-01-15,Fresh milk other than whole,1223.0,142.908,0.1005,5.0,Milk,4634.0
2019-01-15,Cheese and related products,1043.0,226.001,0.232,4.0,Dairy and related products,5341.0
2019-01-15,Ice cream and related products,6801.0,220.635,0.107,4.0,Dairy and related products,5341.0
2019-01-15,Other dairy and related products,5142.0,147.667,0.186,4.0,Dairy and related products,5341.0
2019-01-15,Fruits and vegetables,9499.0,299.844,1.305,3.0,Food at home,4200.0
2019-01-15,Fresh fruits and vegetables,4607.0,349.615,1.034,4.0,Fruits and vegetables,9499.0
