Category,Indent,MSE,RMSE
"Admission to movies, theaters, and concerts",7.0,0.607912813738077,0.779687638569496
"Bacon, breakfast sausage, and related products",7.0,4.823474173856615,2.196240918901343
Bread other than white,7.0,1.7364274617715174,1.3177357329038009
Canned fruits,7.0,2.825323747419181,1.6808699376867864
Canned vegetables,7.0,2.486528851860497,1.5768731248456538
Checking account and other bank services,7.0,16.109576673864918,4.013673712929953
Chicken,7.0,2.520663948235345,1.5876598969034095
Cookies,7.0,3.1080134768027894,1.7629558919050667
"Crackers, bread, and cracker products",7.0,3.912044173653063,1.9778888173133147
"Dried beans, peas, and lentils",7.0,2.759296694803099,1.6611130891071502
Frankfurters,7.0,12.918047229951785,3.5941685032774666
Fresh cakes and cupcakes,7.0,1.9230980104412825,1.3867580936995763
Fresh fish and seafood,7.0,1.332547475932624,1.154360201987501
"Fresh sweetrolls, coffeecakes, doughnuts",7.0,2.952035610381066,1.7181488906323183
"Frozen and refrigerated bakery products, pies, tarts, turnovers",7.0,3.4325586914095885,1.8527165707170616
Frozen vegetables,7.0,2.508973328162091,1.5839739038766045
Ham,7.0,9.157904938282849,3.0262030563534315
Intracity mass transit,7.0,2.256293073052366,1.5020962262958941
Lunchmeats,7.0,1.9924775813359017,1.411551480228724
"Oranges, including tangerines",7.0,8.341796159668506,2.8882167785103157
Other condiments,7.0,6.920941951025329,2.630768319526698
Other pork including roasts and picnics,7.0,9.576477634775664,3.0945884435213133
Other uncooked poultry including turkey,7.0,6.240999742457139,2.498199299987321
Parking fees and tolls,7.0,0.5292264495900263,0.7274795183302595
Pork chops,7.0,5.413577442892371,2.3267095742469386
Prepared salads,7.0,3.455617549563972,1.8589291405440853
Processed fish and seafood,7.0,1.7956228351137142,1.3400085205377295
Salt and other seasonings and spices,7.0,2.302628276618824,1.5174413585436586
Sauces and gravies,7.0,2.3207126489974144,1.5233885417047794
Ship fare,7.0,1.8638898727295,1.365243521401768
Uncooked beef roasts,7.0,8.879538856447605,2.979855509323834
Uncooked beef steaks,7.0,4.771672183665055,2.184415753391523
Uncooked ground beef,7.0,2.1672486142548824,1.4721578088828937
Uncooked other beef and veal,7.0,6.615939859352915,2.5721469358014746
Video discs and other media,7.0,7.2913451381707555,2.7002490881714514
White bread,7.0,1.6633905194819272,1.2897249782344788
Admissions,6.0,3.1618476389381773,1.7781584965739632
Airline fare,6.0,33.85681599369484,5.818661013815364
Apparel services other than laundry and dry cleaning,6.0,1.7434273695428915,1.3203890977825028
Apples,6.0,2.8813091780291704,1.6974419512988272
Bananas,6.0,0.8517625719521835,0.9229098395575721
Beef and veal,6.0,6.551653881646372,2.5596198705367117
Bread,6.0,1.7102594802456523,1.3077688940503411
Butter,6.0,5.342494161865795,2.311383603356612
"Cakes, cupcakes, and cookies",6.0,1.9048581378493878,1.3801659819925238
Canned fruits and vegetables,6.0,1.5236008080572971,1.234342257259832
Child care and nursery school,6.0,0.2823372277054218,0.5313541452792307
Citrus fruits,6.0,7.012779487220236,2.648165305871262
College tuition and fees,6.0,0.06532693663189518,0.25559134694252694
Delivery services,6.0,2.6690635759215358,1.6337268975938224
Dental services,6.0,0.29977892193755623,0.5475207045743168
"Distilled spirits, excluding whiskey, at home",6.0,0.2884454458114055,0.5370711738786634
Elementary and high school tuition and fees,6.0,0.19729928404825925,0.4441838403727214
Eyeglasses and eye care,6.0,0.7244394245150145,0.8511400733810003
Financial services,6.0,3.018067631074566,1.7372586540508486
Fish and seafood,6.0,1.8679812902458441,1.3667411204196076
"Fresh biscuits, rolls, muffins",6.0,2.351739002174977,1.53353806675119
Frozen and freeze dried prepared foods,6.0,1.7434231082413587,1.3203874841278065
Frozen fruits and vegetables,6.0,2.5225755803458614,1.588261811020419
Funeral expenses,6.0,0.13553448991726788,0.3681500915622158
Haircuts and other personal care services,6.0,0.2954250725460833,0.5435301946958268
"Housing at school, excluding board",6.0,0.08895087629930828,0.29824633493021885
Instant and freeze dried coffee,6.0,3.177353609216025,1.782513284443071
Intracity transportation,6.0,1.6775089783991737,1.2951868507667816
Land-line telephone services,6.0,0.6055918921304237,0.7781978489628609
Laundry and dry cleaning services,6.0,0.2876795464064025,0.5363576664935465
Laundry equipment,6.0,9.642559715966083,3.10524712639205
Lettuce,6.0,17.10930636321374,4.136339730149561
Margarine,6.0,11.765623478237746,3.430105461678656
Men’s pants and shorts,6.0,4.374739728015066,2.0915878485053088
Men’s shirts and sweaters,6.0,3.6591530237786642,1.912891273381387
"Men’s suits, sport coats, and outerwear",6.0,9.528215162280471,3.0867807117254817
"Motor oil, coolant, and fluids",6.0,5.267939686111931,2.295199269368987
Motor vehicle maintenance and servicing,6.0,0.420112497972221,0.6481608580994543
Motor vehicle repair,6.0,2.034868057194897,1.426488015089821
Nursing homes and adult day services,6.0,0.3684101086819246,0.6069679634724757
Other bakery products,6.0,2.331705832575988,1.5269924140531896
Other fresh fruits,6.0,6.447484230432472,2.5391896798846028
Other fresh vegetables,6.0,0.7321884664117095,0.8556801192102744
Other intercity transportation,6.0,1.3657428103916254,1.1686499948195035
Other lodging away from home including hotels and motels,6.0,14.350520064045057,3.7882080280846586
Other meats,6.0,1.9332541487386121,1.390415099435637
Other miscellaneous foods,6.0,1.3521883870179576,1.162836354358582
Other processed fruits and vegetables including dried,6.0,1.4947268569400325,1.2225902244579059
Owners’ equivalent rent of primary residence,6.0,0.007317165734511202,0.08554043333132702
