Category,Indent,MSE,RMSE
Air transportation,4.0,155.47094299160034,12.468798779016378
Audio equipment,4.0,11.653189505663194,3.413676830876525
Bakery products,4.0,2.416374907554504,1.5544693331019765
Beer purchased from stores,4.0,0.4503916603246353,0.6711122561275686
Beer served in licensed establishments,4.0,0.9547113795199271,0.9770933320414826
Books and reading material (excluding textbooks,4.0,16.3581698203758,4.044523435508292
Cereal products (excluding baby food,4.0,2.6848898503448937,1.6385633495061744
Child care services,4.0,11.315274848481927,3.3638184922022663
City bus and subway transportation,4.0,0.9215784126774047,0.9599887565369736
Coffee and tea,4.0,3.0405321151135394,1.7437121652134964
"Condiments, spices and vinegars",4.0,3.162496691470549,1.7783409941489143
Dairy products,4.0,1.469747431461227,1.212331403313973
Dental care services,4.0,0.475655575959399,0.6896778784036784
Detergents and soaps (other than personal care,4.0,2.487908376181025,1.577310488198511
Digital computing equipment and devices,4.0,8.731133863970763,2.9548492117146625
Edible fats and oils,4.0,4.6554638088349165,2.1576523836880948
Eggs,4.0,4.052157057174168,2.0129970335731167
Eye care goods,4.0,0.265581387111943,0.5153458907490609
Eye care services,4.0,0.30208646481252566,0.5496239303492213
Financial services,4.0,0.24171351046889408,0.491643682425488
Fish,4.0,1.8354351542264953,1.3547823272491029
Fresh fruit,4.0,5.9430988437987775,2.437847174003895
Fresh or frozen meat (excluding poultry,4.0,3.4217528142234697,1.8497980468752446
Fresh or frozen poultry,4.0,6.742979012544923,2.596724670146014
Fresh vegetables,4.0,8.794828804206034,2.965607661880788
Furniture,4.0,3.299321681933394,1.8164035019602318
Gasoline,4.0,39.79736842304545,6.30851554829228
Household appliances,4.0,2.6748906201602525,1.6355092846450774
Household textiles,4.0,4.782128556427678,2.186807846251627
Housekeeping services,4.0,0.31126400303352425,0.557910389788113
Internet access services,4.0,1.299189502121813,1.1398199428514193
Liquor purchased from stores,4.0,0.24493072040527145,0.49490475892364527
Liquor served in licensed establishments,4.0,0.3783591587866151,0.6151090625138075
Magazines and periodicals,4.0,0.49705104010321477,0.705018467916419
Medicinal and pharmaceutical products,4.0,0.3155986526166805,0.561781677003336
Newspapers,4.0,0.5671784679764902,0.7531125201299539
Non-alcoholic beverages,4.0,4.518185436280442,2.1256023702189557
"Non-electric kitchen utensils, tableware and cookware",4.0,12.563112852500257,3.544448173199921
Nuts and seeds,4.0,2.293053601350006,1.5142831972091633
Operation of recreational vehicles,4.0,9.057188421628437,3.0095163102446274
Oral-hygiene products,4.0,2.5970130242428446,1.6115250616241885
Other food preparations,4.0,1.4075833585898783,1.1864161827073492
Other health care goods,4.0,1.7485711374847472,1.3223354859810528
Other health care services,4.0,0.25039558467971035,0.5003954283161571
Other horticultural goods,4.0,2.1595476825981814,1.4695399561080948
Other household cleaning products,4.0,1.5454177078004754,1.2431483048295064
Other household services,4.0,0.43287916194956816,0.6579355302380075
Other household supplies,4.0,1.2085126085231617,1.099323705067421
"Other lessons, courses and education services",4.0,0.5911637965906084,0.768871768626348
Other passenger vehicle operating expenses,4.0,2.000912149518623,1.4145360191662222
Other personal care supplies and equipment,4.0,1.9176468420457808,1.3847912629872348
Other recreational equipment,4.0,8.16023271703446,2.856612104755292
Paper supplies,4.0,5.157669550240954,2.2710503187382165
"Passenger vehicle parts, maintenance and repairs",4.0,0.8319938994082736,0.9121369959651201
Personal soap,4.0,3.914050839135901,1.9783960268702272
Pet food and supplies,4.0,1.4138413622614263,1.1890506138350152
Photographic equipment and supplies,4.0,3.826074944421303,1.9560355171676467
Plastic and aluminum foil supplies,4.0,7.587832527161089,2.754602063304442
Postal and other communications services,4.0,0.15520557267530985,0.39396138475148784
Preserved fruit and fruit preparations,4.0,3.7993215889471457,1.9491848524311761
Preserved vegetables and vegetable preparations,4.0,1.980809363617235,1.4074122934013455
Processed meat,4.0,0.9440485252593831,0.9716215957148046
Purchase and leasing of passenger vehicles,4.0,0.9574796286941755,0.9785088802326607
Purchase of digital media,4.0,63.71203174249867,7.981981692693781
Purchase of recreational vehicles and outboard motors,4.0,4.542497263179227,2.1313135065445503
"Rail, highway bus and other inter-city transportation",4.0,1.3040340871400082,1.141943119047533
Recreational services,4.0,0.9070979436623082,0.95241689593492
Rental of passenger vehicles,4.0,95.7241142400438,9.783870105435977
School textbooks and supplies,4.0,1.0543555715487425,1.0268181784272923
Seafood and other marine products,4.0,2.4133680959647488,1.5535018815452877
"Seeds, plants and cut flowers",4.0,0.7347206809596473,0.8571584923219552
Spectator entertainment (excluding video and audio subscription services,4.0,0.8417385136466167,0.9174630857133254
Sporting and exercise equipment,4.0,17.402699906947106,4.17165433694441
Sugar and confectionery,4.0,3.203733253157115,1.7898975538161717
Taxi and other local and commuter transportation services,4.0,1.1431898150324498,1.0692005494912775
Telephone equipment,4.0,11.328427784953906,3.3657729847620304
Telephone services,4.0,10.924804841989344,3.3052692540834467
Toiletry items and cosmetics,4.0,1.9703375806539805,1.4036871377390263
Tools and other household equipment,4.0,1.3286326550626564,1.1526632878090013
"Toys, games (excluding video games) and hobby supplies",4.0,2.633264418883078,1.6227336253627944
Travel tours,4.0,125.75343814631337,11.213984044322222
Traveller accommodation,4.0,37.3856860750968,6.11438354007146
