Category,Indent,MSE,RMSE
Accommodation services,2,18.823864205504986,4.338647739273723
Actual rentals for housing,2,0.4501967516106194,0.6709670272156594
Alcoholic beverages,2,0.5178107305951477,0.7195906687799305
"Audio-visual, photographic and information processing equipment",2,4.742330704331899,2.177689303902625
Clothing,2,3.6770528195960006,1.9175642934712778
"Electricity, gas and other fuels",2,66.78289238944255,8.172080052804338
Financial services n.e.c.,2,0.0502628846964097,0.22419385517094287
Food,2,3.277051714903034,1.8102628855785101
Footwear,2,3.06489791799207,1.7506849853677475
"Furniture and furnishings, carpets and other floor coverings",2,12.870603324386112,3.5875623094778595
"Glassware, tableware and household utensils",2,10.961476472338926,3.310812056329825
Goods and services for routine household maintenance,2,5.915423651199255,2.4321643964171615
Household appliances,2,6.224650550212702,2.494924958833973
Household textiles,2,38.43140868031737,6.19930711292136
Imputed rentals for housing,2,0.3852315879767945,0.6206702731537853
Insurance,2,0.20701011456734736,0.454983642087655
Maintenance and repair of the dwelling,2,6.843237879141446,2.615958309901258
"Medical products, appliances and equipment",2,0.6518464607889873,0.8073700891096891
"Newspapers, books and stationery",2,6.826338406554219,2.612726240262117
Non-alcoholic beverages,2,14.529004917242435,3.8116931824639866
Operation of personal transport equipment,2,5.5321154375852375,2.3520449480367582
Other major durables for recreation and culture,2,3.2255825806442,1.7959906961463359
"Other recreational items and equipment, gardens and pets",2,0.7211188233782833,0.8491871545061684
Other services n.e.c.,2,2.477368257259556,1.5739657738526451
Out-patient services,2,0.3122731535611057,0.5588140599171657
Package holidays,2,4.947350061583411,2.224263937032521
Personal care,2,1.0316932476791476,1.0157230172045664
Personal effects n.e.c.,2,1.549647761239106,1.244848489270524
Postal services,2,0.15733841382007854,0.3966590649664754
Purchase of vehicles,2,1.5655734737524842,1.251228785535437
Recreational and cultural services,2,1.0565242461860778,1.027873652831941
Restaurant services,2,0.41341110938420333,0.6429705353934995
Social protection,2,1.8240426885928211,1.3505712452857943
Telephone equipment,2,4.415825145004765,2.101386481588945
Telephone services,2,0.3108850635963628,0.557570680359327
Tobacco,2,1.2441186642325366,1.1154006743016325
Tools and equipment for house and garden,2,1.10180104787591,1.0496671128867046
Transport services,2,50.00597494881414,7.07149029192674
Water supply and miscellaneous services relating to the dwelling,2,0.37596266616869045,0.6131579455317288
Alcoholic beverages and tobacco,1,0.8160426107505783,0.9033507683898754
Clothing and footwear,1,6.0925370172948,2.468306507971569
Communications,1,0.7117022434391264,0.8436244682553525
Education,1,0.09956735404714308,0.31554295119229503
Food and non-alcoholic beverages,1,3.733833955342915,1.9323131100685818
"Furnishings, household equipment and routine maintenance",1,3.861834104738402,1.9651549823712129
Health,1,0.20488416794805603,0.45264132373001037
"Housing, water, electricity, gas and other fuels",1,2.2933483243602946,1.5143805084457125
Miscellaneous goods and services,1,0.38486829149773183,0.6203775394852169
Recreation and culture,1,0.42571598344920697,0.6524691436759342
Restaurants and hotels,1,0.4957071676688685,0.7040647467874446
Transport,1,2.3240668411279097,1.5244890426395035
All-items,0,0.29499355755182105,0.5431330937733596
