Category,Indent,MSE,RMSE
Air transportation,4.0,86.07176781879649,9.277487150020553
Audio equipment,4.0,6.321016547232646,2.51416319025489
Bakery products,4.0,1.573946216535601,1.2545701321710163
Beer purchased from stores,4.0,0.3916189777951348,0.6257946770268462
Beer served in licensed establishments,4.0,0.9110544997093913,0.9544917494192348
Books and reading material (excluding textbooks,4.0,2.63744851427721,1.624022325670805
Cereal products (excluding baby food,4.0,1.9368136405127396,1.3916945212627445
Child care services,4.0,5.896060124574921,2.4281804143380534
City bus and subway transportation,4.0,1.0663701474322906,1.0326519972538137
Coffee and tea,4.0,2.542649843845687,1.59456885829546
"Condiments, spices and vinegars",4.0,2.640245466818558,1.6248832163631202
Dairy products,4.0,1.1068772343334394,1.0520823324880233
Dental care services,4.0,0.3207301893920749,0.5663304595305421
Detergents and soaps (other than personal care,4.0,1.8646548465611594,1.3655236528750279
Digital computing equipment and devices,4.0,3.075924940058655,1.7538315027557965
Edible fats and oils,4.0,4.160680840343757,2.039774703329698
Eggs,4.0,2.98086492776341,1.7265181515881638
Eye care goods,4.0,0.21260973749491374,0.4610962345269301
Eye care services,4.0,0.11621226443155624,0.3408991998106717
Financial services,4.0,0.22483930810188857,0.47417223463831004
Fish,4.0,1.9113076812321868,1.3825005176245637
Fresh fruit,4.0,2.79976477211561,1.6732497638175867
Fresh or frozen meat (excluding poultry,4.0,2.252466608960506,1.5008219777710168
Fresh or frozen poultry,4.0,5.03291699595789,2.243416367052244
Fresh vegetables,4.0,3.399551058164271,1.8437871509922914
Furniture,4.0,2.1628807361925104,1.4706735654768908
Gasoline,4.0,33.93070034509671,5.825006467386685
Household appliances,4.0,2.136484231737729,1.461671725025058
Household textiles,4.0,4.585281687349934,2.141327085559311
Housekeeping services,4.0,0.21271626826822826,0.4612117390832851
Internet access services,4.0,0.6443624646903149,0.8027219099353866
Liquor purchased from stores,4.0,0.2110323448506241,0.45938256916281023
Liquor served in licensed establishments,4.0,0.3056587747659304,0.5528641557977243
Magazines and periodicals,4.0,0.23662807248193846,0.4864443159108126
Medicinal and pharmaceutical products,4.0,0.21880329330391443,0.4677641428154946
Newspapers,4.0,0.4165492211388214,0.6454062450416957
Non-alcoholic beverages,4.0,3.0741049988549687,1.7533125787648274
"Non-electric kitchen utensils, tableware and cookware",4.0,9.543535028368863,3.089261243140318
Nuts and seeds,4.0,1.5898900195706875,1.2609084104607629
Operation of recreational vehicles,4.0,8.527802263630262,2.9202401037637746
Oral-hygiene products,4.0,1.4877094204335455,1.2197169427508767
Other food preparations,4.0,1.6982990800021773,1.3031880447587667
Other health care goods,4.0,1.8090747175961603,1.3450184822507683
Other health care services,4.0,0.09680351121526508,0.311132626407558
Other horticultural goods,4.0,1.412025210550812,1.1882866701898207
Other household cleaning products,4.0,1.4431726477663107,1.2013212092385246
Other household services,4.0,0.3142764839263201,0.5606036781241451
Other household supplies,4.0,0.9409972459380894,0.9700501254770753
"Other lessons, courses and education services",4.0,0.3383069009319287,0.5816415570881509
Other passenger vehicle operating expenses,4.0,0.8671193050918957,0.9311924103491693
Other personal care supplies and equipment,4.0,0.9028152279530705,0.9501658949641744
Other recreational equipment,4.0,5.026288758904395,2.241938616221326
Paper supplies,4.0,4.456182707615687,2.1109672445624748
"Passenger vehicle parts, maintenance and repairs",4.0,0.4356396950575784,0.6600300713282528
Personal soap,4.0,2.0456352992677562,1.4302570745386147
Pet food and supplies,4.0,1.1211098123384278,1.0588247316427908
Photographic equipment and supplies,4.0,2.0902570111042675,1.445772115896647
Plastic and aluminum foil supplies,4.0,4.10213791956304,2.0253735259361516
Postal and other communications services,4.0,0.04432192872084412,0.2105277386019337
Preserved fruit and fruit preparations,4.0,3.057932116792312,1.748694403488589
Preserved vegetables and vegetable preparations,4.0,1.331313846765167,1.1538257436741335
Processed meat,4.0,0.6879957208911714,0.8294550746672007
Purchase and leasing of passenger vehicles,4.0,0.3007997686663436,0.5484521571352816
Purchase of digital media,4.0,47.589655740503396,6.898525620776036
Purchase of recreational vehicles and outboard motors,4.0,4.447919894222396,2.1090092209903673
"Rail, highway bus and other inter-city transportation",4.0,1.318563081405603,1.1482870204812048
Recreational services,4.0,0.7225115418038888,0.850006789269291
Rental of passenger vehicles,4.0,62.008164112507195,7.874526278609221
School textbooks and supplies,4.0,0.413464758847866,0.6430122540417609
Seafood and other marine products,4.0,1.6886700511131982,1.2994883805225803
"Seeds, plants and cut flowers",4.0,0.5533681662407175,0.7438871999441297
Spectator entertainment (excluding video and audio subscription services,4.0,0.6403622772382174,0.8002263912407647
Sporting and exercise equipment,4.0,10.744950612818416,3.277949147381395
Sugar and confectionery,4.0,2.467596210344482,1.5708584310320526
Taxi and other local and commuter transportation services,4.0,1.1386568242708726,1.0670786401530454
Telephone equipment,4.0,9.216081149210389,3.035799919166345
Telephone services,4.0,5.6859199056327245,2.3845167027372076
Toiletry items and cosmetics,4.0,0.8438780541760775,0.9186283547638172
Tools and other household equipment,4.0,1.1313998091658233,1.063672792340682
"Toys, games (excluding video games) and hobby supplies",4.0,1.2831032837131235,1.1327414902408772
Travel tours,4.0,103.41075734336705,10.169107991528413
Traveller accommodation,4.0,18.193955293242187,4.2654372921474515
Tuition fees,4.0,0.0675274004902346,0.259860348053016
Use of recreational facilities and services,4.0,0.11724159011353212,0.34240559299394063
Video and audio subscription services,4.0,0.19125931548151992,0.4373320425963777
Video equipment,4.0,2.1014099192784217,1.449624061361573
Wine purchased from stores,4.0,0.670429168169049,0.8187973914034222
Wine served in licensed establishments,4.0,0.44162950841473614,0.6645521111355649
Alcoholic beverages,2.0,0.22691245711605085,0.47635329023325834
Clothing,2.0,1.80360793700579,1.3429847121266087
"Clothing accessories, watches and jewellery",2.0,1.6638657758381705,1.2899092122464164
"Clothing material, notions and services",2.0,0.1544362294160948,0.39298375210190917
Education and reading,2.0,0.3100550728564705,0.5568258909717386
Food purchased from restaurants,2.0,0.08749956564285644,0.29580325495649373
Food purchased from stores,2.0,0.4126609183654879,0.6423868914956842
Footwear,2.0,1.5564814684847206,1.2475902646641326
Fresh fruit and vegetables,2.0,3.3427703161570714,1.8283244559314606
Health care,2.0,0.15611418630263227,0.3951128779255775
Household furnishings and equipment,2.0,0.7951461308063941,0.8917096673281019
Household operations,2.0,0.24040606641508866,0.49031221320204604
Owned accommodation,2.0,0.11830138135145157,0.34394967851627883
Personal care,2.0,0.2734714871740189,0.5229450135282092
Private transportation,2.0,2.8179338779176573,1.6786702707552956
Public transportation,2.0,28.596246748630943,5.3475458622279195
Recreation,2.0,1.0033727615904875,1.00168496124804
Recreational cannabis,2.0,1.4284665729349282,1.1951847442696582
Rented accommodation,2.0,0.17253963188296104,0.4153789015862036
Tobacco products and smokers' supplies,2.0,0.28011135568432066,0.5292554729847587
"Water, fuel and electricity",2.0,1.4041593220915336,1.184972287478291
Alcoholic beverages purchased from stores,3.0,0.24959236048930392,0.49959219418372014
Alcoholic beverages served in licensed establishments,3.0,0.4258803386681918,0.652595080174676
Athletic footwear,3.0,1.5016589098526827,1.2254219313578008
Bakery and cereal products (excluding baby food,3.0,0.9964761812092986,0.9982365357014832
Child care and housekeeping services,3.0,2.3983573106308738,1.5486630720175625
Children's clothing,3.0,3.915888394592646,1.9788603777408467
