Category,Bidirectional RMSE,HGRU RMSE,Bidirectional_IsBetter,RMSE Difference
Energy services,1.408643137,6.348594033,1,4.939950896
Girls’ apparel,2.228290674,6.0800574,1,3.851766726
Vehicle parts and equipment other than tires,1.17628167,4.796977893,1,3.620696223
Wine at home,0.490791742,4.068308812,1,3.57751707
Carbonated drinks,1.253337035,4.819044256,1,3.565707221
"Propane, kerosene, and firewood",1.939327736,4.898797067,1,2.959469331
"Purchase of pets, pet supplies, accessories",1.100152523,3.889685382,1,2.78953286
Floor coverings,1.479060357,4.171232762,1,2.692172405
Hospital and related services,0.384083588,3.049870601,1,2.665787012
Personal care,0.360390416,2.852962435,1,2.492572019
Fuel oil,7.314058677,9.500486152,1,2.186427475
Distilled spirits at home,0.496725948,2.587154536,1,2.090428589
Garbage and trash collection,0.469246169,2.504229069,1,2.034982899
Sports equipment,0.887236289,2.871475403,1,1.984239114
Other recreation services,0.640226225,2.473648127,1,1.833421902
Water and sewerage maintenance,0.266768359,1.892151708,1,1.625383349
Motor fuel,5.170035631,6.77214794,1,1.602112309
Services less energy services,0.200751594,1.797604309,1,1.596852715
Checking account and other bank services,2.450110011,4.013673713,1,1.563563702
Pet food,0.693400172,2.242999595,1,1.549599423
"Hair, dental, shaving, and miscellaneous personal care products",0.713409498,2.235837016,1,1.522427519
Major appliances,1.421806814,2.930533852,1,1.508727038
Candy and chewing gum,0.839818257,2.272757315,1,1.432939058
Shelf stable fish and seafood,1.864325926,3.246385761,1,1.382059835
Tenants’ and household insurance,0.386008704,1.766908978,1,1.380900273
"Living room, kitchen, and dining room furniture",1.589720064,2.86048097,1,1.270760906
Breakfast cereal,1.123782955,2.330646856,1,1.2068639
Food at home,0.337674703,1.514408868,1,1.176734164
"Bacon, breakfast sausage, and related products",1.130190107,2.196240919,1,1.066050812
Other foods,0.499998562,1.55723563,1,1.057237068
Fresh and frozen chicken parts,1.136475566,2.189331927,1,1.052856361
Commodities less food,1.060978953,2.112195819,1,1.051216866
"Tuition, other school fees, and childcare",0.142308581,1.171893133,1,1.029584552
"Cosmetics, perfume, bath, nail preparations and implements",0.73056487,1.748127349,1,1.017562479
Other uncooked poultry including turkey,1.487694783,2.4981993,1,1.010504517
Personal care services,0.503711827,1.50678212,1,1.003070293
Postage and delivery services,1.009929235,2.005760814,1,0.995831579
Bakery products,0.693135587,1.651311503,1,0.958175916
Rent of primary residence,0.140503873,1.096564452,1,0.956060579
Cigarettes,0.508801785,1.456696176,1,0.947894391
Internet services and electronic information providers,0.518949879,1.456113916,1,0.937164037
Tobacco and smoking products,0.406911214,1.332582204,1,0.92567099
Motor vehicle maintenance and repair,0.652425031,1.55975953,1,0.907334499
Telephone services,0.456371855,1.356201235,1,0.89982938
Beef and veal,1.660625126,2.559619871,1,0.898994745
Nonfrozen noncarbonated juices and drinks,0.906751489,1.753335218,1,0.846583728
Airline fare,4.974142988,5.818661014,1,0.844518025
Other goods and services,0.285565191,1.125029005,1,0.839463815
Fresh fruits,1.304821114,2.139928555,1,0.835107441
Sugar and artificial sweeteners,1.171545445,1.997568104,1,0.826022659
Frankfurters,2.791593412,3.594168503,1,0.802575091
Other fresh fruits,1.737378693,2.53918968,1,0.801810987
Breakfast sausage and related products,1.427010295,2.228457635,1,0.801447339
Professional services,0.282290982,1.076869877,1,0.794578895
Other lodging away from home including hotels and motels,3.003956459,3.788208028,1,0.784251569
Margarine,2.652939152,3.430105462,1,0.77716631
Utilities and public transportation,0.856641741,1.616980902,1,0.76033916
Miscellaneous personal services,0.776143475,1.526540925,1,0.750397451
Other pork including roasts and picnics,2.357002699,3.094588444,1,0.737585744
Poultry,0.866131325,1.581926833,1,0.715795509
Commodities less food and energy commodities,0.520846774,1.185461329,1,0.664614555
Prescription drugs,0.519959999,1.153617616,1,0.633657616
Household furnishings and operations,0.480456661,1.110807076,1,0.630350415
Tomatoes,2.300663334,2.924295084,1,0.62363175
"Beer, ale, and other malt beverages away from home",0.323005241,0.934406491,1,0.61140125
Meats,0.870959073,1.46285086,1,0.591891786
Coffee,1.17382762,1.764255516,1,0.590427896
New cars,0.617097522,1.174507946,1,0.557410424
Video and audio services,0.491324951,1.040372766,1,0.549047814
Music instruments and accessories,1.153070085,1.701842214,1,0.548772128
Nondurables less food and beverages,2.104343761,2.648114292,1,0.543770531
Pork chops,1.787983505,2.326709574,1,0.538726069
Other beverage materials including tea,1.022641157,1.559005111,1,0.536363954
Fats and oils,0.704425625,1.236999169,1,0.532573544
Uncooked beef steaks,1.653832364,2.184415753,1,0.53058339
Outdoor equipment and supplies,1.376025763,1.904338371,1,0.528312608
"Crackers, bread, and cracker products",1.454490065,1.977888817,1,0.523398752
Nonelectric cookware and tableware,1.478361021,1.998059888,1,0.519698867
Other bakery products,1.009941933,1.526992414,1,0.517050482
"Beer, ale, and other malt beverages at home",0.702582125,1.211094343,1,0.508512218
Lettuce,3.629787544,4.13633973,1,0.506552187
Uncooked other beef and veal,2.090594172,2.572146936,1,0.481552764
Cereals and cereal products,0.792458726,1.272044615,1,0.47958589
Recorded music and music subscriptions,0.729755249,1.198801672,1,0.469046423
,,0.468485399,1,0.468485399
Motor vehicle fees,0.319067307,0.787117772,1,0.468050465
Fresh cakes and cupcakes,0.921282715,1.386758094,1,0.465475378
Fresh vegetables,1.017743861,1.460445997,1,0.442702136
Chicken,1.145195967,1.587659897,1,0.44246393
Fish and seafood,0.930224948,1.36674112,1,0.436516173
Other condiments,2.199645746,2.63076832,1,0.431122573
Cookies,1.337304965,1.762955892,1,0.425650927
Butter,1.893640458,2.311383603,1,0.417743145
Ham,2.610001694,3.026203056,1,0.416201362
"Motor oil, coolant, and fluids",1.88390439,2.295199269,1,0.411294879
Intracity mass transit,1.093821422,1.502096226,1,0.408274805
Beverage materials including coffee and tea,0.999090255,1.405312577,1,0.406222322
Cereals and bakery products,0.453286428,0.85815852,1,0.404872092
Education,0.148988156,0.553815459,1,0.404827303
Lunchmeats,1.010301505,1.41155148,1,0.401249975
Housing,0.196091983,0.597050832,1,0.400958849
White bread,0.89145994,1.289724978,1,0.398265038
Commodities,0.737218611,1.130614222,1,0.393395612
Postage,0.952647559,1.344288337,1,0.391640777
Infants’ and toddlers’ apparel,1.601328083,1.990694034,1,0.38936595
Frozen fish and seafood,1.572807036,1.957624364,1,0.384817328
"Cakes, cupcakes, and cookies",1.00372052,1.380165982,1,0.376445462
Dairy and related products,0.676983802,1.047790405,1,0.370806603
Pork,1.214369351,1.578778254,1,0.364408904
Transportation services,0.984479797,1.348686383,1,0.364206585
Other meats,1.037626552,1.390415099,1,0.352788548
"Tools, hardware and supplies",0.950598127,1.300559831,1,0.349961705
Men’s footwear,0.999449412,1.345805087,1,0.346355675
"Dried beans, peas, and lentils",1.316693991,1.661113089,1,0.344419098
Frozen fruits and vegetables,1.250721027,1.588261811,1,0.337540784
Fresh whole chicken,1.251289147,1.587986095,1,0.336696948
Fresh milk other than whole,1.193734738,1.527526228,1,0.33379149
Food away from home,0.203417563,0.535112713,1,0.331695149
New trucks,0.551181863,0.880594206,1,0.329412342
Jewelry and watches,1.870811321,2.197140913,1,0.326329592
Other miscellaneous foods,0.837184246,1.162836354,1,0.325652108
Soups,1.381857569,1.705835556,1,0.323977987
Frozen and freeze dried prepared foods,0.997013954,1.320387484,1,0.32337353
Sauces and gravies,1.206984095,1.523388542,1,0.316404446
Indoor plants and flowers,1.21612914,1.529314667,1,0.313185527
Other food at home,0.430354354,0.738006793,1,0.307652439
"Men’s suits, sport coats, and outerwear",2.779579963,3.086780712,1,0.307200749
College textbooks,1.109984245,1.410674904,1,0.300690659
"Frozen and refrigerated bakery products, pies, tarts, turnovers",1.5521389,1.852716571,1,0.300577671
Household paper products,0.920214779,1.214698223,1,0.294483444
Rice,0.942710742,1.232722297,1,0.290011555
Women’s and girls’ apparel,0.952809829,1.237907427,1,0.285097598
Cheese and related products,0.583556295,0.868423372,1,0.284867077
Durables,0.868093533,1.149967175,1,0.281873642
Other services,0.22697973,0.506430523,1,0.279450793
Sugar and sweets,0.691501385,0.966939088,1,0.275437703
Window and floor coverings and other linens,1.253992071,1.518367047,1,0.264374975
Fuel oil and other fuels,5.442975371,5.706931365,1,0.263955994
Bread,1.046039956,1.307768894,1,0.261728938
Nonalcoholic beverages and beverage materials,0.743354914,1.004903402,1,0.261548487
Intracity transportation,1.035994504,1.295186851,1,0.259192347
"Meats, poultry, fish, and eggs",0.747134235,0.991149447,1,0.244015212
Food,0.261593769,0.486435521,1,0.224841752
Uncooked beef roasts,2.758234287,2.979855509,1,0.221621222
Frozen vegetables,1.368363349,1.583973904,1,0.215610555
"Toys, games, hobbies and playground equipment",1.251786914,1.466151298,1,0.214364383
New vehicles,0.404660243,0.618614212,1,0.213953968
Canned fruits,1.467789594,1.680869938,1,0.213080344
Education and communication commodities,0.887056205,1.094730288,1,0.207674083
Food from vending machines and mobile vendors,1.168410819,1.37607376,1,0.207662941
Other dairy and related products,1.122308965,1.329297986,1,0.206989021
"Fresh sweetrolls, coffeecakes, doughnuts",1.512042365,1.718148891,1,0.206106526
Roasted coffee,1.252601364,1.458437382,1,0.205836017
"Women’s underwear, nightwear, sportswear and accessories",1.496613161,1.701122285,1,0.204509124
Men’s and boys’ apparel,0.92520566,1.120926455,1,0.195720794
Video and audio products,0.86304196,1.058071095,1,0.195029134
Gasoline all types,5.231802791,5.426065438,1,0.194262647
Other motor fuels,4.988681221,5.177215007,1,0.188533786
Educational books and supplies,0.840555301,1.026199614,1,0.185644312
Other food away from home,0.527993885,0.710656958,1,0.182663073
Information and information processing,0.311657135,0.490663042,1,0.179005907
Apparel,0.532528241,0.711148376,1,0.178620135
All items less shelter,0.484247519,0.662462706,1,0.178215187
Canned vegetables,1.399958557,1.576873125,1,0.176914567
Admissions,1.607522584,1.778158497,1,0.170635913
Instant and freeze dried coffee,1.613055702,1.782513284,1,0.169457583
"Oranges, including tangerines",2.719480667,2.888216779,1,0.168736112
Potatoes,1.904338518,2.071837562,1,0.167499044
Other processed fruits and vegetables including dried,1.060225442,1.222590224,1,0.162364783
Land-line telephone services,0.621147265,0.778197849,1,0.157050584
Miscellaneous personal goods,1.432423934,1.589138913,1,0.156714979
"Information technology, hardware and services",0.482479327,0.63898616,1,0.156506833
Education and communication services,0.220758475,0.376143879,1,0.155385405
Women’s footwear,1.001023122,1.155582529,1,0.154559406
Bread other than white,1.164808696,1.317735733,1,0.152927037
"Commodities less food, energy, and used cars and trucks",0.570180481,0.719105445,1,0.148924964
Delivery services,1.486911309,1.633726898,1,0.146815589
"Tools, hardware, outdoor equipment and supplies",0.875565376,1.021203753,1,0.145638377
Recreation commodities,0.437402053,0.581903038,1,0.144500985
Salt and other seasonings and spices,1.375991586,1.517441359,1,0.141449773
New and used motor vehicles,1.315654989,1.452510406,1,0.136855417
Services,0.234879637,0.365390775,1,0.130511139
Women’s dresses,2.690192421,2.820047336,1,0.129854915
Motor vehicle repair,1.296815094,1.426488015,1,0.129672921
Men’s shirts and sweaters,1.783513146,1.912891273,1,0.129378128
Eyeglasses and eye care,0.722837966,0.851140073,1,0.128302108
Parking and other fees,0.563914592,0.687923656,1,0.124009063
Snacks,1.153821635,1.27743435,1,0.123612715
Transportation commodities less motor fuel,1.291595881,1.41297156,1,0.121375678
