,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
64800,2013-01-15,All-items,2,121.3,1.0,0.0,,
65100,2013-02-15,All-items,2,122.7,1.0,0.0,,
65400,2013-03-15,All-items,2,122.9,1.0,0.0,,
65700,2013-04-15,All-items,2,122.7,1.0,0.0,,
66000,2013-05-15,All-items,2,123,1.0,0.0,,
66300,2013-06-15,All-items,2,123,1.0,0.0,,
66600,2013-07-15,All-items,2,123.1,1.0,0.0,,
66900,2013-08-15,All-items,2,123.1,1.0,0.0,,
67200,2013-09-15,All-items,2,123.3,1.0,0.0,,
67500,2013-10-15,All-items,2,123,1.0,0.0,,
67800,2013-11-15,All-items,2,123,1.0,0.0,,
68100,2013-12-15,All-items,2,122.7,1.0,0.0,,
68400,2014-01-15,All-items,2,123.1,1.0,0.0,,
68700,2014-02-15,All-items,2,124.1,1.0,0.0,,
69000,2014-03-15,All-items,2,124.8,1.0,0.0,,
69300,2014-04-15,All-items,2,125.2,1.0,0.0,,
69600,2014-05-15,All-items,2,125.8,1.0,0.0,,
69900,2014-06-15,All-items,2,125.9,1.0,0.0,,
70200,2014-07-15,All-items,2,125.7,1.0,0.0,,
70500,2014-08-15,All-items,2,125.7,1.0,0.0,,
70800,2014-09-15,All-items,2,125.8,1.0,0.0,,
71100,2014-10-15,All-items,2,125.9,1.0,0.0,,
71400,2014-11-15,All-items,2,125.4,1.0,0.0,,
71700,2014-12-15,All-items,2,124.5,1.0,0.0,,
72000,2015-01-15,All-items,2,124.3,1.0,0.0,,
72300,2015-02-15,All-items,2,125.4,1.0,0.0,,
72600,2015-03-15,All-items,2,126.3,1.0,0.0,,
72900,2015-04-15,All-items,2,126.2,1.0,0.0,,
73200,2015-05-15,All-items,2,126.9,1.0,0.0,,
73500,2015-06-15,All-items,2,127.2,1.0,0.0,,
73800,2015-07-15,All-items,2,127.3,1.0,0.0,,
74100,2015-08-15,All-items,2,127.3,1.0,0.0,,
74400,2015-09-15,All-items,2,127.1,1.0,0.0,,
74700,2015-10-15,All-items,2,127.2,1.0,0.0,,
75000,2015-11-15,All-items,2,127.1,1.0,0.0,,
75300,2015-12-15,All-items,2,126.5,1.0,0.0,,
75600,2016-01-15,All-items,2,126.8,1.0,0.0,,
